Company,year,cash_ratio,quick_ratio,current_ratio,lt_debt_to_equity,lt_debt_to_assets,liab_to_equity,liab_to_assets,st_debt_to_equity,st_debt_to_assets,ap_to_equity,ap_to_assets,assets_to_liab,ebitda_coverage,pe_basic,pe_diluted,pb_ratio,ps_ratio,pb_tangible,market_cap,price_to_cfo,ev,ev_to_revenue,ev_to_ebitda,ev_to_ebit,eps_diluted,Financial_Distress
DQC,2020,0.2608562208522709,1.4444132235120735,2.1509009234227348,0.053872030648001036,0.035281126485611644,0.5269362408247124,0.345093807283079,0.06623216655527125,0.04337585603410568,0.14257940069189354,0.09337613246698832,2.897762807953561,-0.2186138398526931,29.5993031358885,,0.6323377485316303,0.6208817403336999,0.7009942442076678,583766477840.0,35.89104625649283,581756875953.0,0.6187443700592108,-40.4229666314218,35.76749220359426,574.0,0
DQC,2021,0.13652951886937809,1.3107167475531754,2.2104841025794735,0.05068297585058938,0.03394430485222417,0.4931216317799604,0.33026219785732175,0.09540712888751376,0.0638977608098667,0.09533696566695518,0.06385076984873854,3.027897247967856,0.542871921040849,40.177890724269375,,1.150367567297133,1.4805100810595053,1.2712578098806533,1086444733920.0,44.079522525249885,1167909188988.0,1.5915225819356649,22.839976479284324,47.384719899828475,787.0,0
DQC,2022,0.039233069741685465,1.0589117117846838,1.9498816415867666,0.03010389163000125,0.018932060524577694,0.5901011720789837,0.37110919886151256,0.19776992249765937,0.12437568500064958,0.14950564501361835,0.09402272486734076,2.6946246632198725,0.16649195367328354,34.06813627254509,,0.6254136073752568,0.5902220207453257,0.6947004776331241,584110072000.0,41.974345883279696,776572000917.0,0.7846978122908873,23.987533500482893,55.80472471250377,499.0,0
DQC,2023,0.042313237526140045,1.233131820283184,1.8702692269210115,0.008541337233096169,0.005326545657650698,0.6035415411915144,0.3763803591536841,0.2696491292886781,0.16815849316152723,0.09105567765030617,0.05678410899330184,2.656886778705896,-0.08507958851180829,-12.139423076923077,,0.5780342696364713,0.6059768481509664,0.643745790084297,520545152400.0,-14.219602896465092,748480716087.0,0.8713211200700034,-33.52525966330608,-20.446062189511174,-1248.0,0
DQC,2024,0.08362093635844121,1.114169075668979,1.793874861153435,0.004939301089120441,0.003178666593701332,0.5538908984376921,0.35645417512554023,0.2034666030451272,0.13094008289108067,0.12891590921602375,0.08296329513586698,2.8054096985897505,-0.6402675032574182,-2.8333708117832246,-2.8333708117832246,0.5560081092446479,0.5320965164997015,0.629336193511129,432928641600.0,-3.503151194841972,559629304703.0,0.687819596465378,-5.313859373827892,-4.528381536951415,-4447.0,1
DRC,2018,0.04793427789946634,0.37656809589873386,1.1725712452343022,0.1604537107148072,0.08639128411142152,0.8572904936551825,0.461581263988499,0.46332425172837743,0.24946245797906746,0.159645711125369,0.08595624199377838,2.166465751575472,0.23443603753428358,9.443976411120472,,0.8731359180229791,0.3750009628427383,0.8759273186254604,1331665102050.0,7.512571312985062,2232097827708.0,0.628565570473481,12.592350796308377,12.592350796308377,1187.0,0
DRC,2019,0.04929863572576313,0.2421781169069454,1.4854393637718324,0.09108892113306703,0.05489290471759143,0.6593933515031485,0.3973701298163224,0.325942136174294,0.19642246721010537,0.13667251589424095,0.08236294051102304,2.516545469741857,1.0236986466887457,6.055002370791844,,0.9294710218396233,0.39319318952876653,0.9318420305594876,1516981565850.0,4.855956893993397,2151909327565.0,0.5577629360366598,3.6721121622866506,6.888402054235124,2109.0,0
DRC,2020,0.25439800397323775,0.7054238041494334,1.7670936530078971,0.0004814191862217066,0.0003341802470236369,0.4405973737509845,0.30584352143012045,0.1810855404128428,0.12570170105290257,0.13283174907579828,0.09220601918073398,3.2696458480598594,1.634606396209365,6.306765523632993,,0.9582020176833892,0.4433579548196228,0.960162494273576,1616767354050.0,5.019521193445122,1734313726253.0,0.47559210344084524,3.2572589028754706,5.384463313910093,2158.0,0
DRC,2021,0.06589826317082867,0.5036622096224845,1.554563446946487,0.0009018102781318589,0.0005101332243694888,0.7677936567383404,0.4343231201287115,0.3225707834707202,0.182470834331354,0.22897215420063285,0.12952425376562154,2.302433266052358,0.806333975049166,8.312908496732026,8.312908496732026,1.3627532266027143,0.5519852598814374,1.3648594877436162,2417429511750.0,6.6209175738182395,2901626245677.0,0.6625446200246664,6.188878498096661,7.947047932226059,2448.0,0
DRC,2022,0.10306086978356668,0.4975218477147165,1.6307499404274266,0.00035919379964629677,0.00020070666662164272,0.7896455842367319,0.4412301470145603,0.3593671342096441,0.20080352075012162,0.24686234587444703,0.13793923671190553,2.2663909226651295,0.6373182537703947,5.755488592337494,,0.8316514638681431,0.32422755673416415,0.832536390369158,1588257128850.0,4.121960353205587,2119943627382.0,0.4327662884270561,4.71769429213698,5.501831803158062,2323.0,0
