item,item_en,item_id,2025,2024,2023,2022,2021
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0,0.0,0.0
Phải trả khác,Other payables,other_payables,193660755415.0,441699603149.0,938495943804.0,1016080095926.0,1938077205658.0
Dự phòng các khoản phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,52406010238.0,80464369666.0,74508081339.0,88198811192.0,98864231183.0
"Quỹ khen thưởng, phúc lợi",Bonus and welfare funds,bonus_and_welfare_funds,12142061557.0,11169788432.0,18786301036.0,21455165225.0,33817755606.0
Nợ dài hạn,Long-term liabilities,long_term_liabilities,1176835290963.0,569220870817.0,1312371712007.0,5251065098388.0,6213179023816.0
Phải trả nhà cung cấp dài hạn,Long-term trade payables,long_term_trade_payables,0.0,0.0,0.0,9259078400.0,9259078400.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,0.0,0.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,6393398122.0,8060034250.0,6951694250.0,2172000000.0,707300000.0
Vay dài hạn,Long-term borrowings,long_term_borrowings,1047942820263.0,453424828476.0,1235643872006.0,5159829973072.0,6113922911348.0
Thuế thu nhập hoãn lại,Deferred income tax liabilities,deferred_income_tax_liabilities,2884100204.0,4599331076.0,6470160639.0,6451798811.0,7598440505.0
Dự phòng trợ cấp thôi việc,Provision for severance allowances,provision_for_severance_allowances,0.0,0.0,0.0,0.0,0.0
Dự phòng các khoản nợ dài hạn,Provision for long-term liabilities,provision_for_long_term_liabilities,119614972374.0,80410879206.0,63305985112.0,73352248105.0,81691293563.0
Doanh thu chưa thực hiện,Deferred revenue,deferred_revenue,0.0,0.0,0.0,0.0,0.0
Quỹ phát triển khoa học công nghệ,Technology-science development fund,technology_science_development_fund,0.0,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Owner's Equity,owners_equity,8397054827274.0,6953437285925.0,5951879834915.0,6003443439284.0,5987393092936.0
Vốn và các quỹ,Capital and reserves,capital_and_reserves,8397054827274.0,6953437285925.0,5949513329338.0,6000424392006.0,5983526045666.0
Vốn góp,Paid-in capital,paid_in_capital,3659999560000.0,3000000000000.0,3000000000000.0,3000000000000.0,3000000000000.0
Thặng dư vốn cổ phần,Share premium,share_premium,225051540000.0,835287500000.0,835287500000.0,835287500000.0,835287500000.0
Vốn khác,Owner's other capital,owners_other_capital,0.0,0.0,0.0,0.0,0.0
Cổ phiếu quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Differences upon asset revaluation,differences_upon_asset_revaluation,0.0,0.0,0.0,0.0,0.0
